species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Biscoe,37.9,18.3,174,3400,female,2007
Adelie,Biscoe,38.0,17.0,181,3175,female,2009
Adelie,Biscoe,38.9,17.4,186,3550,female,2008
Adelie,Biscoe,37.6,17.0,185,3575,female,2008
Adelie,Biscoe,39.1,17.5,186,3500,female,2008
Adelie,Biscoe,36.5,17.1,184,2875,female,2008
Adelie,Biscoe,34.4,18.1,187,2900,female,2008
Adelie,Biscoe,35.4,16.2,195,3325,female,2008
Adelie,Biscoe,34.9,17.9,190,3425,female,2008
Adelie,Biscoe,38.9,17.5,186,3550,female,2008
Adelie,Biscoe,37.7,17.1,185,3600,female,2008
Adelie,Biscoe,35.9,16.9,185,3175,female,2008
Adelie,Biscoe,39.5,17.7,193,3225,female,2009
Adelie,Biscoe,36.3,17.1,183,2850,female,2008
Adelie,Biscoe,38.0,16.5,198,3850,female,2009
Adelie,Biscoe,35.0,17.9,191,3425,female,2008
Adelie,Biscoe,38.0,18.3,174,3350,female,2007
Adelie,Biscoe,37.7,16.5,198,3825,female,2009
Adelie,Biscoe,36.3,17.0,184,2900,female,2008
Adelie,Biscoe,34.9,17.9,192,3725,female,2009
Adelie,Biscoe,35.2,19.0,187,3850,female,2007
Adelie,Biscoe,38.9,17.5,186,3575,female,2008
Adelie,Biscoe,38.3,17.2,199,3750,female,2009
Adelie,Biscoe,35.6,16.8,185,3150,female,2008
Adelie,Biscoe,35.5,18.9,188,3775,female,2007
Adelie,Biscoe,39.7,17.8,187,3450,female,2008
Adelie,Biscoe,38.1,17.1,181,3200,female,2009
Adelie,Biscoe,37.5,16.0,182,3050,female,2009
Adelie,Biscoe,38.6,17.1,199,3725,female,2009
Adelie,Biscoe,34.8,17.9,190,3475,female,2008
Adelie,Biscoe,35.6,17.0,185,3175,female,2008
Adelie,Biscoe,34.5,18.1,187,2900,female,2008
Adelie,Biscoe,37.7,18.2,174,3375,female,2007
Adelie,Biscoe,38.0,18.3,174,3375,female,2007
