ID,LastName,FirstName,Title,Gender,Boarded,Class,Age,Survived
1,Ab i-Al-Munà,Nasif Qasim,Mr,M,Cherbourg,3rd,26,Yes
2,Abbing,Anthony,Mr,M,Southampton,3rd,42,No
3,Abbott,Rhoda Mary “Rosa”,Mrs,F,Southampton,3rd,39,Yes
4,Abbott,Rossmore Edward,Mr,M,Southampton,3rd,16,No
5,Abbott,Eugene Joseph,Mr,M,Southampton,3rd,14,No
6,Abelseth,Olaus Jørgensen,Mr,M,Southampton,3rd,25,Yes
7,Abelseth,Karen Marie,Miss,F,Southampton,3rd,16,Yes
8,Abelson,Samuel,Mr,M,Cherbourg,2nd,30,No
9,Abelson,Hannah,Mrs,F,Cherbourg,2nd,28,Yes
10,Abrahamsson,Abraham August Johannes,Mr,M,Southampton,3rd,20,Yes
11,Ådahl,Mauritz,Mr,M,Southampton,3rd,30,No
12,Adams,John,Mr,M,Southampton,3rd,26,No
13,Ahlin,Johanna Persdotter,Mrs,F,Southampton,3rd,40,No
14,Aks,Frank Philip,Master,M,Southampton,3rd,0,Yes
15,Aks,Leah,Mrs,F,Southampton,3rd,18,Yes
16,Aldworth,Augustus Henry,Mr,M,Southampton,2nd,34,No
17,Alexander,William Albert,Mr,M,Southampton,3rd,23,No
18,Alhomäki,Ilmari Rudolf,Mr,M,Southampton,3rd,19,No
19,Ali,William,Mr,M,Southampton,3rd,25,No
20,Ali,Ahmed,Mr,M,Southampton,3rd,24,No
21,Allen,William Henry,Mr,M,Southampton,3rd,38,No
22,Allen,Elisabeth Walton,Miss,F,Southampton,1st,29,Yes
23,Allison,Hudson Trevor,Master,M,Southampton,1st,0,Yes
24,Allison,Hudson Joshua Creighton,Mr,M,Southampton,1st,30,No
25,Allison,Bessie Waldo,Mrs,F,Southampton,1st,25,No
26,Allison,Helen Loraine,Miss,F,Southampton,1st,2,No
27,Allum,Owen George,Mr,M,Southampton,3rd,15,No
28,Al-Munà,Far id Husayn Qasim,Mr,M,Cherbourg,3rd,18,No
29,Andersen,Albert Karvin,Mr,M,Southampton,3rd,33,No
