,sepal_length,sepal_width,petal_length,petal_width,species,cluster
0,5.1,3.5,1.4,0.2,setosa,1
1,4.9,3.0,1.4,0.2,setosa,2
2,4.7,3.2,1.3,0.2,setosa,2
3,4.6,3.1,1.5,0.2,setosa,2
4,5.0,3.6,1.4,0.2,setosa,1
5,5.4,3.9,1.7,0.4,setosa,1
6,4.6,3.4,1.4,0.3,setosa,2
7,5.0,3.4,1.5,0.2,setosa,1
8,4.4,2.9,1.4,0.2,setosa,2
9,4.9,3.1,1.5,0.1,setosa,2
10,5.4,3.7,1.5,0.2,setosa,1
11,4.8,3.4,1.6,0.2,setosa,2
12,4.8,3.0,1.4,0.1,setosa,2
13,4.3,3.0,1.1,0.1,setosa,2
14,5.8,4.0,1.2,0.2,setosa,1
15,5.7,4.4,1.5,0.4,setosa,1
16,5.4,3.9,1.3,0.4,setosa,1
17,5.1,3.5,1.4,0.3,setosa,1
18,5.7,3.8,1.7,0.3,setosa,1
19,5.1,3.8,1.5,0.3,setosa,1
20,5.4,3.4,1.7,0.2,setosa,1
21,5.1,3.7,1.5,0.4,setosa,1
22,4.6,3.6,1.0,0.2,setosa,1
23,5.1,3.3,1.7,0.5,setosa,2
24,4.8,3.4,1.9,0.2,setosa,2
25,5.0,3.0,1.6,0.2,setosa,2
26,5.0,3.4,1.6,0.4,setosa,1
27,5.2,3.5,1.5,0.2,setosa,1
28,5.2,3.4,1.4,0.2,setosa,1
29,4.7,3.2,1.6,0.2,setosa,2
30,4.8,3.1,1.6,0.2,setosa,2
31,5.4,3.4,1.5,0.4,setosa,1
32,5.2,4.1,1.5,0.1,setosa,1
33,5.5,4.2,1.4,0.2,setosa,1
34,4.9,3.1,1.5,0.1,setosa,2
35,5.0,3.2,1.2,0.2,setosa,2
36,5.5,3.5,1.3,0.2,setosa,1
37,4.9,3.1,1.5,0.1,setosa,2
38,4.4,3.0,1.3,0.2,setosa,2
39,5.1,3.4,1.5,0.2,setosa,1
40,5.0,3.5,1.3,0.3,setosa,1
41,4.5,2.3,1.3,0.3,setosa,2
42,4.4,3.2,1.3,0.2,setosa,2
