species,island,sex,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Chinstrap,Biscoe,female,2007,43.76978147750832,14.41608815773099,204.23421063361965,4825.559793045402
Adelie,Biscoe,male,2008,45.853175159385884,18.723629295089754,195.70561653068214,3467.839740419488
Chinstrap,Torgersen,male,2009,39.252221244081404,16.864654890192856,205.52772163024005,4640.443780908441
Gentoo,Dream,female,2007,49.68645628969535,17.26716898160913,214.0868096003856,5172.165988804154
Adelie,Biscoe,female,2007,53.573203165267415,16.80789491967731,209.62994050672617,4334.849972047149
Chinstrap,Dream,female,2009,46.438271394412695,16.369664733772144,205.27827850790317,4260.030133025319
Gentoo,Biscoe,male,2007,37.53811104471195,17.90229453254457,199.21619651102156,3900.8315904587694
Gentoo,Dream,male,2007,48.24273509026982,14.506855371439528,199.5233065362016,3756.228548
Adelie,Biscoe,female,2008,40.25354933248738,16.032768020087648,196.68612595298637,3497.042914213771
Adelie,Biscoe,female,2008,42.86044251682652,18.56822019737095,194.33875352788706,3769.270313631508
Chinstrap,Torgersen,female,2008,51.43086333768827,15.257943225543924,219.54959206147745,5001.931721183595
Chinstrap,Dream,female,2009,38.330087277220564,14.246164893679522,192.8094916433903,4007.085360159435
Gentoo,Torgersen,female,2009,46.655336567484284,16.35137250387561,220.28344274199773,6009.363959068603
Gentoo,Biscoe,male,2008,49.99423123,17.66904141,214.32282850115075,5502.601548041404
Adelie,Biscoe,female,2008,36.83184033669946,18.86103028590973,174.01168671617913,2908.0598502708026
Adelie,Torgersen,female,2008,40.654738954430115,14.799571936609102,202.98178549312829,3934.2638916137726
Chinstrap,Dream,male,2008,37.52063037293527,17.76236346460917,190.16384480886947,3593.2412206886393
Adelie,Biscoe,male,2009,57.47423909982689,13.163394810353655,242.6729119693632,5874.475778040567
Adelie,Dream,female,2007,45.09635943,16.258129348548838,189.4404979250811,3633.5338972798427
Gentoo,Biscoe,female,2007,39.90018081340375,14.977477303553293,208.52713773294758,4827.169408275159
Chinstrap,Dream,female,2009,42.21501180091805,18.130749998592776,207.5866984094964,4693.020054691354
Chinstrap,Biscoe,male,2009,34.24303290818207,18.145418368884016,180.07097754793156,3226.8052128586437
Adelie,Dream,male,2009,40.07041452835512,14.6404834,194.43320487866646,4289.808788565722
Adelie,Torgersen,female,2008,48.06213365411898,18.230692028521055,185.33632566337724,2579.2646367666007
Adelie,Dream,male,2009,43.785412599490414,16.838345533127672,204.90545019507036,4331.403179355056
Adelie,Biscoe,male,2007,49.02034195086794,18.005826169771375,211.96257116623917,5050.607044619099
Adelie,Dream,male,2009,46.75972588,16.693997736552028,213.78076717601016,4835.895230525952
Gentoo,Biscoe,female,2009,42.04535381305898,19.398943464931445,200.68701722974606,3844.8751467002435
Chinstrap,Dream,female,2009,46.16307328334721,16.50100340293887,192.19886052561515,3767.4200621520645
Gentoo,Biscoe,male,2009,46.78546441980877,17.29515179267721,208.28473235530686,4433.281404560358
Chinstrap,Biscoe,male,2009,49.550735586233365,15.821596034022551,227.55580895613008,5587.496842732349
Chinstrap,Biscoe,male,2007,42.990447528100475,12.69623627064524,211.11489770789623,4475.747522770272
Adelie,Biscoe,male,2007,38.18148705,17.281051278650672,178.99188335724108,2859.7750981023064
Adelie,Biscoe,female,2009,44.39580084639124,18.355379318790884,211.0601738329786,4562.732800999999
Gentoo,Torgersen,female,2009,44.08627942430129,19.479582705270463,197.85022249788355,3961.068330748868
Adelie,Biscoe,female,2009,53.274451325644804,15.839515885905676,222.37543466158985,5706.214933021923
