OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1178700,10,Dalhousie,41,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178701,83,Springfield,5,7.00,7:00am to 7:29am,2017-10-23 10:00:00.0000000
1178702,84,Glendale Express,130,7.00,7:00am to 7:29am,2017-10-23 10:00:00.0000000
1178703,86,Basinview Express,44,7.00,7:00am to 7:29am,2017-10-23 10:00:00.0000000
1178704,87,Glendale,58,7.00,7:00am to 7:29am,2017-10-23 10:00:00.0000000
1178705,89,Bedford,26,7.00,7:00am to 7:29am,2017-10-23 10:00:00.0000000
1178706,1,Spring Garden,490,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178707,10,Dalhousie,280,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178708,14,Leiblin Park,151,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178709,15,Purcells Cove,18,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178710,159,Portland Hills Link,101,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178711,185,Sackville Link,106,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178712,19,Greystone,31,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178713,194,West Bedford Express,22,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178714,20,Herring Cove,157,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178715,21,Lakeside - Timberlea,47,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178716,31,Main Express,52,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178717,32,Cowie Hill Express,68,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178718,320,Airport - Fall River Regi,20,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178719,330,Tantallon - Sheldrake Lak,62,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178720,35,Parkland Express,40,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178721,41,Dartmouth - Dalhousie,49,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178722,42,Lacewood - Dalhousie,61,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178723,5,Chebucto,37,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178724,51,Windmill,76,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178725,53,Notting Park,99,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178726,54,Montebello,33,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178727,55,Port Wallace,27,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178728,57,Russell Lake,30,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178729,58,Woodlawn,81,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178730,6,Quinpool,19,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178731,60,Eastern Passage - Heritag,194,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178732,61,Auburn - North Preston,99,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178733,63,Woodside,28,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178734,66,Penhorn,46,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178735,72,Portland Hills,61,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178736,79,Cole Harbour Express,15,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178737,80,Sackville,180,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178738,84,Glendale Express,63,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178739,87,Glendale,59,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178740,89,Bedford,47,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178741,9,Barrington,176,7.50,7:30am to 7:59am,2017-10-23 10:00:00.0000000
1178742,1,Spring Garden,423,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178743,10,Dalhousie,238,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178744,16,Parkland,57,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178745,18,Universities,64,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178746,194,West Bedford Express,14,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178747,2,Wedgewood,138,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178748,20,Herring Cove,188,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178749,22,Armdale,14,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178750,23,Timberlea- Mumford,35,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178751,330,Tantallon - Sheldrake Lak,34,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178752,34,Glenbourne Express,67,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178753,42,Lacewood - Dalhousie,74,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178754,5,Chebucto,34,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178755,53,Notting Park,64,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178756,54,Montebello,45,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178757,56,Dartmouth Crossing,23,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178758,57,Russell Lake,8,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178759,58,Woodlawn,53,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178760,59,Colby,56,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178761,6,Quinpool,18,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178762,60,Eastern Passage - Heritag,109,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178763,7,Robie,341,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178764,80,Sackville,245,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178765,81,Hemlock Ravine,66,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178766,82,Millwood,42,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178767,84,Glendale Express,44,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178768,9,Barrington,110,8.00,8:00am to 8:29am,2017-10-23 10:00:00.0000000
1178769,22,Armdale,14,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178770,32,Cowie Hill Express,68,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178771,320,Airport - Fall River Regi,23,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178772,330,Tantallon - Sheldrake Lak,41,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178773,35,Parkland Express,56,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178774,370,Porters Lake Regional Exp,23,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178775,4,Rosedale,68,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178776,42,Lacewood - Dalhousie,78,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178777,51,Windmill,34,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178778,56,Dartmouth Crossing,35,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178779,59,Colby,148,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178780,61,Auburn - North Preston,108,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178781,63,Woodside,27,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178782,64,Akerley,50,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178783,66,Penhorn,88,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178784,7,Robie,300,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178785,72,Portland Hills,77,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178786,78,Mount Edward Express,7,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178787,79,Cole Harbour Express,20,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178788,81,Hemlock Ravine,62,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178789,84,Glendale Express,106,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178790,85,Downsview Express,40,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178791,87,Glendale,72,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178792,89,Bedford,27,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178793,90,Larry Uteck,85,16.00,4:00pm to 4:29pm,2017-10-23 10:00:00.0000000
1178794,1,Spring Garden,370,16.50,4:30pm to 4:59pm,2017-10-23 10:00:00.0000000
1178795,14,Leiblin Park,129,16.50,4:30pm to 4:59pm,2017-10-23 10:00:00.0000000
1178796,15,Purcells Cove,9,16.50,4:30pm to 4:59pm,2017-10-23 10:00:00.0000000
1178797,159,Portland Hills Link,62,16.50,4:30pm to 4:59pm,2017-10-23 10:00:00.0000000
1178798,17,Saint Mary's,45,16.50,4:30pm to 4:59pm,2017-10-23 10:00:00.0000000
1178799,18,Universities,104,16.50,4:30pm to 4:59pm,2017-10-23 10:00:00.0000000
1178800,2,Wedgewood,66,16.50,4:30pm to 4:59pm,2017-10-23 10:00:00.0000000
1178801,20,Herring Cove,62,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178802,320,Airport - Fall River Regi,6,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178803,55,Port Wallace,3,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178804,58,Woodlawn,4,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178805,59,Colby,28,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178806,6,Quinpool,1,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178807,60,Eastern Passage - Heritag,24,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178808,66,Penhorn,25,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178809,80,Sackville,42,21.50,9:30pm to 9:59pm,2017-10-23 10:00:00.0000000
1178810,1,Spring Garden,104,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178811,185,Sackville Link,7,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178812,20,Herring Cove,28,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178813,21,Lakeside - Timberlea,26,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178814,4,Rosedale,46,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178815,52,Crosstown,44,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178816,53,Notting Park,11,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178817,58,Woodlawn,0,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178818,59,Colby,19,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178819,62,Wildwood,10,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178820,68,Cherry Brook,23,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178821,72,Portland Hills,11,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178822,80,Sackville,60,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178823,87,Glendale,8,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178824,9,Barrington,38,22.00,10:00pm to 10:29pm,2017-10-23 10:00:00.0000000
1178825,1,Spring Garden,68,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178826,14,Leiblin Park,34,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178827,2,Wedgewood,52,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178828,51,Windmill,2,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178829,52,Crosstown,2,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178830,53,Notting Park,2,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178831,55,Port Wallace,3,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178832,56,Dartmouth Crossing,4,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178833,57,Russell Lake,0,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178834,59,Colby,15,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178835,61,Auburn - North Preston,6,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178836,66,Penhorn,17,22.50,10:30pm to 10:59pm,2017-10-23 10:00:00.0000000
1178837,1,Spring Garden,58,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178838,10,Dalhousie,33,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178839,14,Leiblin Park,0,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178840,18,Universities,31,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178841,51,Windmill,2,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178842,62,Wildwood,2,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178843,68,Cherry Brook,7,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178844,72,Portland Hills,7,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178845,80,Sackville,34,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178846,90,Larry Uteck,14,23.00,11:00pm to 11:29pm,2017-10-23 10:00:00.0000000
1178847,1,Spring Garden,37,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178848,18,Universities,8,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178849,2,Wedgewood,19,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178850,20,Herring Cove,4,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178851,52,Crosstown,2,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178852,58,Woodlawn,3,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178853,59,Colby,15,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178854,61,Auburn - North Preston,3,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178855,66,Penhorn,18,23.50,11:30pm to 11:59pm,2017-10-23 10:00:00.0000000
1178856,10,Dalhousie,30,24.00,12:00am to 12:29am,2017-10-23 10:00:00.0000000
