OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1,1,Spring Garden,337,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
2,10A,Dalhousie - Bridge Terminal,257,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
3,21,Lakeside - Timberlea,67,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
4,22,Armdale,21,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
5,24,Leiblin Park,67,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
6,28,Bayers Lake,103,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
7,3,CrossTown,269,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
8,30B,Dunbrack,7,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
9,39,Flamingo,43,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
10,5,Portland,117,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
11,51A,Windmill,19,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
12,54,Montebello,42,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
13,58,Woodlawn,6,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
14,59,Colby,15,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
15,61,North Preston,9,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
16,62,Grahams Grove,17,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
17,64,Akerley,16,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
18,67,Baker,17,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
19,68,Cherry Brook,33,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
20,6A,Woodside,38,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
21,7B,Peninsula,88,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
22,82,First Lake,7,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
23,84,Glendale Express,15,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
24,87,Sackville-Dartmouth,34,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
25,88,Bedford Commons,5,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
26,90,Larry Uteck,86,14,2:00pm to 2:29pm,1/6/2026 10:00:00 AM
27,10A,Dalhousie - Bridge Terminal,113,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
28,10B,Dalhousie - Micmac Terminal,178,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
29,183,Springfield Express,30,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
30,2,Fairview,307,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
31,22,Armdale,48,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
32,28,Bayers Lake,81,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
33,29,Barrington,71,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
34,370,Porters Lake Regional Express,3,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
35,415,Purcells Cove,3,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
36,5,Portland,152,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
37,53,Notting Park,48,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
38,55,Port Wallace,15,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
39,56,Dartmouth Crossing,31,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
40,61,North Preston,8,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
41,62,Grahams Grove,18,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
42,64,Akerley,14,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
43,7B,Peninsula,131,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
44,8,Sackville Corridor,197,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
45,85,Millwood,55,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
46,86,Beaver Bank,2,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
47,87,Sackville-Dartmouth,41,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
48,90,Larry Uteck,105,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
49,91,Hemlock Ravine,58,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
50,9A,Greystone,242,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
51,9B,Herring Cove,36,14.5,2:30pm to 2:59pm,1/6/2026 10:00:00 AM
52,1,Spring Garden,385,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
53,10B,Dalhousie - Micmac Terminal,98,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
54,10C,Dalhousie,159,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
55,135,Flamingo Express,43,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
56,136,Farnham Gate Express,74,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
57,138,Parkland Express,37,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
58,165,Caldwell Express,28,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
59,168B,Cherry Brook Express,48,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
60,183,Springfield Express,30,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
61,192,Hemlock Ravine Express,21,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
62,2,Fairview,243,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
63,21,Lakeside - Timberlea,64,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
64,22,Armdale,20,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
65,24,Leiblin Park,79,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
66,26,Springvale,30,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
67,29,Barrington,164,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
68,3,CrossTown,293,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
69,30B,Dunbrack,17,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
70,320,Airport - Fall River Regional Exp,32,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
71,370,Porters Lake Regional Express,12,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
72,4,Universities,286,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
73,51A,Windmill,12,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
74,51B,Windmill,10,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
75,53,Notting Park,81,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
76,58,Woodlawn,45,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
77,61,North Preston,24,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
78,63,Mount Edward,26,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
79,68,Cherry Brook,18,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
80,6B,Eastern Passage,40,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
81,6C,Heritage Hills,83,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
82,7A,Peninsula,115,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
83,8,Sackville Corridor,211,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
84,83,Springfield,2,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
85,87,Sackville-Dartmouth,75,15,3:00pm to 3:29pm,1/6/2026 10:00:00 AM
