OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1,6C,Heritage Hills,35,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
2,72,Portland Hills,44,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
3,7B,Peninsula,50,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
4,8,Sackville Corridor,148,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
5,82,First Lake,14,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
6,84,Glendale,13,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
7,86,Beaver Bank,2,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
8,90,Larry Uteck,78,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
9,91,Hemlock Ravine,20,12.5,12:30pm to 12:59pm,1/3/2024 10:00:00 AM
10,1,Spring Garden,249,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
11,21,Timberlea,27,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
12,22,Armdale,31,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
13,24,Leiblin Park,46,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
14,25,Governors Brook,33,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
15,28,Bayers Lake,55,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
16,29,Barrington,69,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
17,3,Crosstown,310,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
18,39,Flamingo,53,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
19,5,Portland,169,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
20,51A,Windmill,24,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
21,56,Dartmouth Crossing,30,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
22,59,Colby,14,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
23,61,North Preston,9,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
24,63,Mount Edward,16,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
25,64,Burnside,6,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
26,68,Cherry Brook,9,13,1:00pm to 1:29pm,1/3/2024 10:00:00 AM
27,54,Montebello,74,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
28,61,North Preston,0,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
29,62,Grahams Grove,19,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
30,63,Mount Edward,8,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
31,64,Burnside,9,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
32,6A,Woodside,48,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
33,6C,Heritage Hills,44,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
34,72,Portland Hills,65,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
35,7A,Peninsula,93,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
36,86,Beaver Bank,4,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
37,87,Sackville-Dartmouth,45,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
38,88,Bedford Commons,0,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
39,90,Larry Uteck,66,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
40,9B,Herring Cove,191,12,12:00pm to 12:29pm,1/4/2024 10:00:00 AM
41,1,Spring Garden,272,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
42,10,Dalhousie,114,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
43,2,Fairview,161,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
44,22,Armdale,14,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
45,28,Bayers Lake,68,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
46,3,Crosstown,138,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
47,30B,Dunbrack,14,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
48,51A,Windmill,25,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
49,55,Port Wallace,0,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
50,56,Dartmouth Crossing,48,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
51,65,Caldwell,0,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
52,6B,Eastern Passage,29,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
53,6C,Heritage Hills,32,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
54,72,Portland Hills,51,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
55,7B,Peninsula,90,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
56,8,Sackville Corridor,150,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
57,84,Glendale,24,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
58,85,Millwood,12,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
59,86,Beaver Bank,4,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
60,90,Larry Uteck,37,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
61,91,Hemlock Ravine,9,12.5,12:30pm to 12:59pm,1/4/2024 10:00:00 AM
62,10,Dalhousie,112,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
63,21,Timberlea,26,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
64,24,Leiblin Park,53,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
65,25,Governors Brook,31,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
66,3,Crosstown,282,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
67,30A,Parkland,26,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
68,30B,Dunbrack,24,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
69,320,Airport - Fall River Regi,47,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
70,4,Universities,152,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
71,54,Montebello,34,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
72,55,Port Wallace,0,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
73,56,Dartmouth Crossing,51,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
74,59,Colby,0,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
75,61,North Preston,0,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
76,62,Grahams Grove,17,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
77,63,Mount Edward,16,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
78,68,Cherry Brook,19,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
79,6A,Woodside,31,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
80,7B,Peninsula,73,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
81,87,Sackville-Dartmouth,45,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
82,88,Bedford Commons,0,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
83,91,Hemlock Ravine,8,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
84,9A,Greystone,72,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
85,9B,Herring Cove,108,13,1:00pm to 1:29pm,1/4/2024 10:00:00 AM
86,29,Barrington,77,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
87,3,Crosstown,97,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
88,330,Tantallon - Sheldrake Lak,3,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
89,370,Porters Lake Regional Exp,6,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
90,39,Flamingo,50,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
91,4,Universities,154,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
92,51A,Windmill,16,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
93,53,Highfield,37,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
94,55,Port Wallace,16,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
95,61,North Preston,0,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
96,62,Grahams Grove,8,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
97,63,Mount Edward,19,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
98,64,Burnside,2,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
99,68,Cherry Brook,11,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
100,6A,Woodside,27,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
101,6C,Heritage Hills,0,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
102,7B,Peninsula,45,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
103,8,Sackville Corridor,191,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
104,83,Springfield,2,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
105,86,Beaver Bank,5,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
106,87,Sackville-Dartmouth,61,13.5,1:30pm to 1:59pm,1/4/2024 10:00:00 AM
107,10,Dalhousie,195,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
108,21,Timberlea,28,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
109,28,Bayers Lake,129,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
110,29,Barrington,87,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
111,3,Crosstown,388,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
112,30A,Parkland,21,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
113,320,Airport - Fall River Regi,36,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
114,51A,Windmill,12,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
115,55,Port Wallace,25,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
116,58,Woodlawn,8,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
117,59,Colby,0,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
118,61,North Preston,0,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
119,64,Burnside,10,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
120,6A,Woodside,24,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
121,7A,Peninsula,110,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
122,8,Sackville Corridor,211,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
123,83,Springfield,12,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
124,84,Glendale,25,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
125,86,Beaver Bank,9,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
126,87,Sackville-Dartmouth,72,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
127,51B,Windmill-Wrights Cove,30,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
128,54,Montebello,54,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
129,56,Dartmouth Crossing,126,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
130,61,North Preston,22,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
131,62,Grahams Grove,43,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
132,68,Cherry Brook,19,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
133,6A,Woodside,48,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
134,8,Sackville Corridor,190,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
135,82,First Lake,28,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
136,83,Springfield,0,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
137,84,Glendale,89,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
138,88,Bedford Commons,20,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
139,90,Larry Uteck,110,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
140,91,Hemlock Ravine,93,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
141,93,Bedford Highway,14,15,3:00pm to 3:29pm,1/3/2024 10:00:00 AM
142,1,Spring Garden,370,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
143,10,Dalhousie,282,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
144,123,Timberlea Express,31,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
145,127,Cowie Hill Express,51,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
146,137,Clayton Park Express,44,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
147,159,Colby Express,23,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
148,165,Caldwell Express,23,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
149,182,First Lake Express,46,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
150,183,Springfield Express,30,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
151,185,Millwood Express,53,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
152,194,West Bedford Express,23,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
153,2,Fairview,257,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
154,21,Timberlea,85,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
155,22,Armdale,34,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
156,24,Leiblin Park,68,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
157,25,Governors Brook,25,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
158,28,Bayers Lake,93,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
159,3,Crosstown,388,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
160,30A,Parkland,74,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
161,320,Airport - Fall River Regi,21,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
162,330,Tantallon - Sheldrake Lak,12,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
163,370,Porters Lake Regional Exp,8,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
164,401,Preston- Porters Lake,25,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
165,51A,Windmill,26,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
166,51B,Windmill-Wrights Cove,15,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
167,53,Highfield,53,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
168,54,Montebello,54,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
169,64,Burnside,33,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
170,67,Baker,62,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
171,68,Cherry Brook,26,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
172,6A,Woodside,22,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
173,6B,Eastern Passage,59,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
174,6C,Heritage Hills,6,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
175,8,Sackville Corridor,181,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
176,84,Glendale,67,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
177,85,Millwood,41,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
178,86,Beaver Bank,2,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
179,88,Bedford Commons,7,15.5,3:30pm to 3:59pm,1/3/2024 10:00:00 AM
180,88,Bedford Commons,0,14,2:00pm to 2:29pm,1/4/2024 10:00:00 AM
181,10,Dalhousie,187,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
182,168A,Auburn Express,81,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
183,182,First Lake Express,26,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
184,2,Fairview,124,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
185,22,Armdale,51,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
186,24,Leiblin Park,67,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
187,28,Bayers Lake,97,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
188,3,Crosstown,361,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
189,30A,Parkland,36,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
190,4,Universities,229,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
191,415,Purcells Cove,8,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
192,51B,Windmill-Wrights Cove,0,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
193,53,Highfield,46,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
194,65,Caldwell,1,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
195,67,Baker,28,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
196,68,Cherry Brook,3,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
197,6B,Eastern Passage,48,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
198,6C,Heritage Hills,49,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
199,7B,Peninsula,121,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
200,8,Sackville Corridor,265,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
201,84,Glendale,43,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
202,86,Beaver Bank,6,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
203,91,Hemlock Ravine,35,14.5,2:30pm to 2:59pm,1/4/2024 10:00:00 AM
204,1,Spring Garden,410,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
205,10,Dalhousie,272,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
206,123,Timberlea Express,43,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
207,135,Flamingo Express,30,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
208,136,Farnham Gate Express,48,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
209,168A,Auburn Express,21,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
210,168B,Cherry Brook Express,43,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
211,183,Springfield Express,36,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
212,185,Millwood Express,26,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
213,186,Beaver Bank Express,27,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
214,24,Leiblin Park,84,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
215,25,Governors Brook,28,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
216,28,Bayers Lake,112,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
217,29,Barrington,225,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
218,30A,Parkland,30,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
219,39,Flamingo,55,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
220,51B,Windmill-Wrights Cove,29,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
221,53,Highfield,75,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
222,55,Port Wallace,28,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
223,59,Colby,20,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
224,61,North Preston,0,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
225,62,Grahams Grove,43,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
226,64,Burnside,54,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
227,67,Baker,70,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
228,68,Cherry Brook,26,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
229,7B,Peninsula,114,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
230,83,Springfield,1,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
231,84,Glendale,69,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
232,86,Beaver Bank,7,15,3:00pm to 3:29pm,1/4/2024 10:00:00 AM
