customer_id,age,gender,signup_date,purchase_amount,annual_income,loyalty_score
a3a57fde-cfda-488a-9c30-166aa05d1cf5,56.0,Other,2024-03-31,537.29,61714.69,60.89
06225699-6847-49a1-82d9-7d8c5fcac5ca,69.0,,2024-11-12,250.05,15206.25,57.29
402b8ce3-8f65-4cc2-99b9-66029c4588f5,,Male,2025-04-25,276.55,28813.13,
5a7eda8f-6cb3-4054-809d-388c494147d3,32.0,Other,2023-12-29,383.51,39893.42,27.92
98d2c5d8-9d9a-4fd3-872a-257d73dfcec3,60.0,Female,2025-03-07,29.87,-2423.93,39.87
a0756c84-d80e-43ce-a148-935bcc59e149,25.0,Male,2025-10-25,328.86,34080.76,24.56
4113716b-d4dd-4839-ab75-e370e4608013,38.0,Male,2025-08-24,219.33,27218.05,31.76
f4c69f6e-f7c0-4c7d-b2bf-1d3e471dcd60,56.0,Male,2025-08-03,334.22,21419.77,49.02
cced2cbc-f058-44d6-af75-c759211b63b9,36.0,Other,2024-08-31,128.56,14103.58,21.0
7187a69a-a808-44ea-931c-4386a9b375d5,40.0,Male,2024-03-21,891.62,76720.72,71.53
250d8a3f-b225-41e7-aa23-a0253f25d7c7,28.0,Other,2024-10-15,597.66,54465.32,41.93
234c7048-0cfd-427b-8cc5-2b30461d5a68,28.0,Other,2024-08-28,682.31,76047.72,54.13
c4200f2b-475b-49eb-b37f-a047abb5368c,41.0,Other,2025-02-26,791.28,76074.37,67.94
5d1ac1ed-a19e-445c-98e7-c4ac08d642d1,53.0,Male,2025-07-05,503.46,43844.85,64.89
53a9ddef-5ba1-4c93-ad48-00bf8f324dd3,57.0,Other,2024-01-14,96.05,7294.15,35.44
ac9f7954-fb58-4e65-a7cc-3f86fe1f9c06,41.0,Female,2025-04-27,541.74,63946.55,53.17
1384facc-b3d6-4da7-a30d-35152e6d4142,20.0,Male,2025-07-13,590.97,49454.91,31.0
9d140201-736b-4f7d-ab31-531a4d24064c,39.0,Male,2025-05-02,747.99,69324.48,55.12
6cbe4abf-860b-4084-88aa-7d2790020094,19.0,Male,2025-11-30,437.34,50477.52,23.32
43a70bf0-1fca-4238-9704-0e9cb3cfc5e8,41.0,Male,2023-12-06,136.3,21665.46,33.46
60e06427-6b28-4de0-a09f-9cadb4f78a12,61.0,Male,2024-09-04,290.94,27585.47,58.71
3319ac56-4237-4815-bf90-87480c02ebe0,47.0,Other,2024-12-29,369.45,29891.22,42.08
6d7f5618-dbf7-4f8d-8c97-dde70ec15e85,55.0,Other,2025-03-06,649.46,75040.52,72.27
3220a1b4-74c9-478d-8424-ad87539b3e6b,,Male,,575.07,64968.63,
4561eaa3-364c-472f-bab4-89a4e10cf7b3,38.0,Other,2024-03-17,362.54,38778.52,38.38
3ea6c6fc-1ded-44ae-969b-903607cf5357,50.0,Male,2024-03-02,986.65,94788.87,79.28
8626d684-ce90-4855-b354-9c3bf4e9fddb,29.0,Other,2025-04-16,609.72,60274.91,39.95
9f0284de-ef99-498e-84e0-e533018c7abd,39.0,Other,2024-09-12,244.85,22613.84,36.13
0d736b63-11f3-4ec2-bf5a-c3211c3dafa9,61.0,Other,2024-07-26,110.76,11433.99,41.85
8b097228-fd43-4773-984e-7c53b34c0b5d,42.0,Other,2024-02-25,161.33,22177.31,40.72
088b8f54-1b60-41cc-a156-6da4b7ed95ac,66.0,Female,2024-09-23,253.5,28692.36,50.1
280ca6b7-9ceb-45e0-a67b-47544eae4eb0,44.0,Male,2024-05-10,169.07,10322.52,30.36
804b0d23-22be-4914-a40d-7c7f9975403e,59.0,Female,2024-04-01,194.7,25198.26,51.21
3f1744fa-d0f8-47a7-b196-f7e719783a53,45.0,Other,,292.24,29800.49,43.51
e8e35d35-4202-4bb6-95e6-0b8923b4c6db,33.0,Female,,181.64,20423.0,22.7
f14773e8-0d1d-431a-9313-9c22be74c80c,32.0,Male,2024-11-22,897.8,97148.23,58.35
2cb84c9b-5a89-48be-955a-881dec466d0b,,,,,,
