customer_id,age,gender,signup_date,purchase_amount,annual_income,loyalty_score
a3a57fde-cfda-488a-9c30-166aa05d1cf5,56.0,Other,2024-03-31,94.52,61714.69,60.89
06225699-6847-49a1-82d9-7d8c5fcac5ca,69.0,,2024-11-12,67.87,15206.25,57.29
402b8ce3-8f65-4cc2-99b9-66029c4588f5,,Male,2025-04-25,157.66,28813.13,
5a7eda8f-6cb3-4054-809d-388c494147d3,32.0,Other,2023-12-29,19.78,39893.42,27.92
98d2c5d8-9d9a-4fd3-872a-257d73dfcec3,60.0,Female,2025-03-07,83.99,-2423.93,39.87
a0756c84-d80e-43ce-a148-935bcc59e149,25.0,Male,2025-10-25,93.59,34080.76,24.56
4113716b-d4dd-4839-ab75-e370e4608013,38.0,Male,2025-08-24,22.93,27218.05,31.76
f4c69f6e-f7c0-4c7d-b2bf-1d3e471dcd60,56.0,Male,2025-08-03,19.94,21419.77,49.02
cced2cbc-f058-44d6-af75-c759211b63b9,36.0,Other,2024-08-31,31.19,14103.58,21.0
7187a69a-a808-44ea-931c-4386a9b375d5,40.0,Male,2024-03-21,33.05,76720.72,71.53
250d8a3f-b225-41e7-aa23-a0253f25d7c7,28.0,Other,2024-10-15,104.9,54465.32,41.93
234c7048-0cfd-427b-8cc5-2b30461d5a68,28.0,Other,2024-08-28,34.16,76047.72,54.13
c4200f2b-475b-49eb-b37f-a047abb5368c,41.0,Other,2025-02-26,28.97,76074.37,67.94
5d1ac1ed-a19e-445c-98e7-c4ac08d642d1,53.0,Male,2025-07-05,34.23,43844.85,64.89
53a9ddef-5ba1-4c93-ad48-00bf8f324dd3,57.0,Other,2024-01-14,146.73,7294.15,35.44
ac9f7954-fb58-4e65-a7cc-3f86fe1f9c06,41.0,Female,2025-04-27,55.26,63946.55,53.17
1384facc-b3d6-4da7-a30d-35152e6d4142,20.0,Male,2025-07-13,47.34,49454.91,31.0
9d140201-736b-4f7d-ab31-531a4d24064c,39.0,Male,2025-05-02,50.02,69324.48,55.12
6cbe4abf-860b-4084-88aa-7d2790020094,19.0,Male,2025-11-30,172.63,50477.52,23.32
43a70bf0-1fca-4238-9704-0e9cb3cfc5e8,41.0,Male,2023-12-06,31.12,21665.46,33.46
60e06427-6b28-4de0-a09f-9cadb4f78a12,61.0,Male,2024-09-04,176.49,27585.47,58.71
3319ac56-4237-4815-bf90-87480c02ebe0,47.0,Other,2024-12-29,65.14,29891.22,42.08
6d7f5618-dbf7-4f8d-8c97-dde70ec15e85,55.0,Other,2025-03-06,48.05,75040.52,72.27
3220a1b4-74c9-478d-8424-ad87539b3e6b,,Male,,554.74,64968.63,
4561eaa3-364c-472f-bab4-89a4e10cf7b3,38.0,Other,2024-03-17,25.55,38778.52,38.38
3ea6c6fc-1ded-44ae-969b-903607cf5357,50.0,Male,2024-03-02,41.37,94788.87,79.28
8626d684-ce90-4855-b354-9c3bf4e9fddb,29.0,Other,2025-04-16,23.03,60274.91,39.95
9f0284de-ef99-498e-84e0-e533018c7abd,39.0,Other,2024-09-12,125.8,22613.84,36.13
0d736b63-11f3-4ec2-bf5a-c3211c3dafa9,61.0,Other,2024-07-26,251.92,11433.99,41.85
8b097228-fd43-4773-984e-7c53b34c0b5d,42.0,Other,2024-02-25,247.3,22177.31,40.72
088b8f54-1b60-41cc-a156-6da4b7ed95ac,66.0,Female,2024-09-23,161.92,28692.36,50.1
280ca6b7-9ceb-45e0-a67b-47544eae4eb0,44.0,Male,2024-05-10,46.66,10322.52,30.36
804b0d23-22be-4914-a40d-7c7f9975403e,59.0,Female,2024-04-01,41.01,25198.26,51.21
3f1744fa-d0f8-47a7-b196-f7e719783a53,45.0,Other,,18.4,29800.49,43.51
e8e35d35-4202-4bb6-95e6-0b8923b4c6db,33.0,Female,,352.16,20423.0,22.7
f14773e8-0d1d-431a-9313-9c22be74c80c,32.0,Male,2024-11-22,81.41,97148.23,58.35
2cb84c9b-5a89-48be-955a-881dec466d0b,,,,37.32,,
cb4408d8-914a-436d-9cd7-b05490a6c643,68.0,Other,2024-02-22,178.59,52159.79,74.03
56b7c8c8-42f9-4d41-bbf3-4731c14fd15a,61.0,Female,2024-10-25,26.89,38192.47,69.55
8890301e-6dd6-48d8-8fa5-423d58a89ec4,69.0,Female,2025-02-01,77.09,,
756b49bc-ad3e-4ac2-a107-2dcaf014db78,20.0,Female,2025-11-05,47.59,12546.48,11.73
0df8b479-3887-4999-9783-3adea9eccc17,54.0,,2024-01-06,94.61,52145.52,50.26
3b5318a7-9956-4e7c-b037-36f3344ec080,68.0,Male,2024-08-07,51.92,87934.94,97.19
9f9a3d60-a6ef-4790-827f-08ab7ac8ff13,24.0,Female,2024-07-07,20.47,86506.76,47.71
3ff87187-a6d8-4c49-9e84-39c7d72d95c6,38.0,Male,2025-07-02,58.18,84994.73,55.48
0fef1ba3-42cf-4cc4-bb48-981749028ea2,26.0,Male,2025-01-28,137.52,26112.67,22.39
826b8651-adc1-4197-b118-3e64a3f93c73,56.0,Female,2024-07-08,53.39,16171.87,42.94
e5582764-29a3-48f2-bea9-6c6ffcf9a0ec,35.0,Male,2024-11-24,106.98,60353.29,53.37
044acd10-adfe-4fc0-a44e-3ce93e404d59,21.0,Female,2025-02-06,25.7,,
538c79d2-2d87-4fc7-9195-cb42f9e01739,42.0,Female,2024-10-14,53.52,51802.13,59.92
4616df7e-f2c7-42ec-9b6f-d1191a2c0d2d,31.0,Other,2024-10-19,33.92,46131.22,36.8
3b95d8ef-2ad4-4384-8d83-253af97e3228,67.0,Female,2024-08-01,104.29,33693.23,63.0
868c0686-51b0-4308-9f45-bc7915c79ea4,26.0,Male,2024-02-07,56.1,81794.25,50.3
a0019487-d182-40f2-b173-9ca863d2efe0,43.0,Other,2024-06-15,99.08,18621.87,30.84
1e6c5bbc-11f5-45fc-a9a3-600a5ea59b5b,19.0,Female,2025-03-12,142.57,33264.84,21.3
abb4b5e2-b0b9-4ddb-9478-55b980c3aebb,37.0,Other,2024-12-21,99.21,47735.53,33.66
4fa4f6b5-1b07-4d60-8d10-608e29fbdb5c,45.0,Male,2024-05-10,68.7,51758.29,59.05
a54dbe6d-0233-42ef-ba8c-62bbdae058e5,64.0,Female,2025-04-18,26.46,28458.42,57.14
5a95d675-546a-466f-ba25-7825f9916541,24.0,Male,2025-04-09,54.55,9607.2,8.45
1b7ebbfe-db58-46ed-8f7f-f9484619f58d,61.0,,2024-05-14,36.21,67567.08,71.16
e9f82f8a-5971-401a-a6e5-42ed4b964556,25.0,Female,2025-04-02,41.67,,
a38805f9-29a3-4edd-9977-004994a10c51,64.0,Other,2025-06-26,40.72,59020.21,71.2
2163cba1-ff33-4c26-ac9a-d40fa0848927,52.0,Other,2024-03-18,26.77,8723.52,37.12
f100c60e-416c-4200-9264-471e9b0a0d91,31.0,Female,2025-04-12,16.31,49407.04,35.62
2428bae5-6e30-4816-8595-5cca2a70f19b,34.0,Other,2024-06-23,32.9,48991.67,36.38
105a5d3f-3ee9-40a1-a803-6708abbb4b95,53.0,Male,,64.21,1559.64,45.79
9ec9a72a-868d-4a60-9d6c-a2b868fbf4d7,67.0,Other,,21.6,29344.25,61.92
12752d76-0ed4-4447-913c-6fe6ca4b968e,57.0,Male,2025-01-28,55.38,7734.23,48.93
a826ee55-6074-4030-a152-852e9a01b01d,21.0,Male,2025-03-16,308.77,16537.26,6.95
210ba54c-b5be-43b4-8b30-18cc7b8e2eba,19.0,Other,2025-05-21,134.27,105854.34,45.66
1b28ffef-fc2b-4b32-870e-84f7474b345b,23.0,Male,2025-06-07,241.12,41588.09,20.87
e683a359-e634-4ae4-a992-24d40de3279a,59.0,,2024-01-17,76.06,74953.5,84.65
b306d7d9-70ca-46cf-9a46-d9b21db3194f,21.0,Male,2025-06-05,153.58,25525.08,14.58
6fece8bd-0e0a-4255-a051-505ab22b6b74,46.0,Male,2025-01-05,31.66,61676.38,67.49
0b87daad-87a3-413e-b00c-9e7d6d67b750,35.0,Male,2025-03-26,33.45,72591.33,59.81
50189c09-f4a1-4c1a-85b2-6a06d6ef6388,43.0,Female,2024-03-23,12.89,54908.43,58.85
ec9f59db-ce0b-4883-a004-e456de80f6e4,61.0,Female,2025-09-07,156.28,53207.15,63.36
cc826ac6-d84e-462d-b844-760e0f14c248,51.0,Female,,218.46,39014.01,47.45
39b23439-6f41-4034-9c42-a0ed9ce9584a,27.0,Other,2025-04-22,35.69,39997.57,23.08
75102041-cc5c-4375-83f2-950e7462755e,53.0,,,44.66,,
255a7d89-af37-436b-8efa-76682793be08,31.0,Male,2024-12-18,31.02,94673.9,57.05
18aae6b3-f185-49ef-914c-68d032757d65,48.0,Female,2024-06-10,75.5,89290.67,66.9
76d1ce27-6ab0-4177-8c15-6ffea6fee7d1,65.0,Female,2025-08-15,147.6,18342.62,52.06
6cf38f06-1655-4061-a352-98460b3b6607,32.0,Male,2025-01-28,17.82,78845.81,51.07
7cb3884e-d55c-402a-a3fc-e2386711dc82,25.0,Other,2025-04-27,77.28,89134.29,52.48
b8996e29-210b-438b-ac11-090ce1b78591,31.0,Female,2024-01-10,43.88,22814.51,28.09
0c28bcfb-1dd3-4576-96b8-d617e1b38b8f,40.0,Other,2023-12-04,60.04,7908.35,26.79
ed7b22ec-2b50-4af6-8eff-5493bb0dac36,57.0,Other,2025-02-14,80.7,73008.4,81.86
f90b6b7f-19a5-42eb-a9e4-7532414fc38f,38.0,Other,2024-10-23,47.01,53248.94,47.21
fd7fed71-514f-42fb-b5f5-c7786dd4b2dd,33.0,Male,2025-11-21,50.28,80688.95,61.54
351415ac-43ca-473b-b1a5-2b7b89f8c313,62.0,Other,2025-02-01,46.07,23853.44,58.11
954b7cad-b378-43ef-b57e-aff7916a7709,35.0,Other,2025-03-04,127.89,79599.9,63.02
4756ad21-628a-44ba-97c4-e9f6c8b28d1d,64.0,Male,2024-03-30,77.91,23742.65,49.55
